CustomerID,CustomerName,Email,Gender,Age,GeographyID
33,Thomas Brown,thomas.brown33@example.com,Non-Binary,37,9
34,Karen Miller,karen.miller34@example.com,Male,41,3
35,Sarah Taylor,sarah.taylor35@example.com,Male,56,6
36,Jessica Smith,jessica.smith36@example.com,Male,41,5
37,Linda Johnson,linda.johnson37@example.com,Male,54,2
38,John Thomas,john.thomas38@example.com,Male,66,9
39,Robert Jones,robert.jones39@example.com,Non-Binary,48,9
40,Jennifer Rodriguez,jennifer.rodriguez40@example.com,Non-Binary,56,7
41,Michael Moore,michael.moore41@example.com,Non-Binary,62,4
42,Elizabeth Gonzalez,elizabeth.gonzalez42@example.com,Non-Binary,59,6
43,Joseph Taylor,joseph.taylor43@example.com,Female,25,4
44,Linda Williams,linda.williams44@example.com,Female,19,10
45,Sarah Davis,sarah.davis45@example.com,Non-Binary,32,1
46,John Johnson,john.johnson46@example.com,Male,22,1
47,David Williams,david.williams47@example.com,Non-Binary,33,5
48,Jessica Miller,jessica.miller48@example.com,Non-Binary,26,10
49,Charles Thomas,charles.thomas49@example.com,Male,68,8
50,Susan Miller,susan.miller50@example.com,Male,24,7
51,Barbara Wilson,barbara.wilson51@example.com,Female,47,1
52,Patricia Johnson,patricia.johnson52@example.com,Female,64,6
53,Patricia Davis,patricia.davis53@example.com,Male,30,9
54,Joseph Jones,joseph.jones54@example.com,Female,29,5
55,Joseph Davis,joseph.davis55@example.com,Male,46,9
56,Patricia Johnson,patricia.johnson56@example.com,Non-Binary,52,1
57,John Davis,john.davis57@example.com,Male,44,8
58,Jessica Miller,jessica.miller58@example.com,Female,21,3
59,Richard Smith,richard.smith59@example.com,Female,34,8
60,Elizabeth Wilson,elizabeth.wilson60@example.com,Non-Binary,64,9
61,Jessica Jones,jessica.jones61@example.com,Male,36,4
62,Mary Jackson,mary.jackson62@example.com,Non-Binary,52,1
63,David Johnson,david.johnson63@example.com,Male,55,8
64,Thomas Taylor,thomas.taylor64@example.com,Male,21,9
65,John Garcia,john.garcia65@example.com,Male,56,2
66,Linda Gonzalez,linda.gonzalez66@example.com,Male,54,4
67,Charles Martin,charles.martin67@example.com,Male,57,2
68,Susan Jackson,susan.jackson68@example.com,Non-Binary,51,6
69,William Miller,william.miller69@example.com,Non-Binary,63,6
70,Linda Rodriguez,linda.rodriguez70@example.com,Female,26,5
71,Joseph Hernandez,joseph.hernandez71@example.com,Male,18,8
72,Karen Jackson,karen.jackson72@example.com,Male,22,9
73,Michael Taylor,michael.taylor73@example.com,Female,26,6
74,John Davis,john.davis74@example.com,Female,36,3
75,Joseph Moore,joseph.moore75@example.com,Non-Binary,37,10
76,Thomas Smith,thomas.smith76@example.com,Non-Binary,70,9
77,Elizabeth Brown,elizabeth.brown77@example.com,Male,34,2
78,Patricia Moore,patricia.moore78@example.com,Male,35,5
79,Karen Miller,karen.miller79@example.com,Non-Binary,39,4
80,William Taylor,william.taylor80@example.com,Female,34,1
81,John Wilson,john.wilson81@example.com,Female,20,1
82,David Jones,david.jones82@example.com,Non-Binary,34,3
83,Joseph Moore,joseph.moore83@example.com,Non-Binary,45,9
84,James Brown,james.brown84@example.com,Male,62,3
85,Sarah Johnson,sarah.johnson85@example.com,Female,55,9
86,Robert Wilson,robert.wilson86@example.com,Male,20,5
87,Barbara Johnson,barbara.johnson87@example.com,Female,31,4
88,Patricia Lopez,patricia.lopez88@example.com,Non-Binary,44,10
89,Robert Davis,robert.davis89@example.com,Male,69,3
90,Susan Smith,susan.smith90@example.com,Male,65,6
91,Susan Davis,susan.davis91@example.com,Female,28,2
92,Richard Johnson,richard.johnson92@example.com,Female,32,4
93,Joseph Lopez,joseph.lopez93@example.com,Female,70,4
94,Linda Smith,linda.smith94@example.com,Non-Binary,30,7
95,David Rodriguez,david.rodriguez95@example.com,Male,67,5
96,Barbara Taylor,barbara.taylor96@example.com,Female,61,9
97,David Smith,david.smith97@example.com,Male,34,3
98,Charles Rodriguez,charles.rodriguez98@example.com,Male,24,10
99,Susan Lopez,susan.lopez99@example.com,Non-Binary,68,6
100,Susan Martin,susan.martin100@example.com,Non-Binary,25,7
101,Charles Miller,charles.miller101@example.com,Female,20,7
102,James Taylor,james.taylor102@example.com,Non-Binary,61,4
103,Barbara Wilson,barbara.wilson103@example.com,Male,60,6
104,Karen Hernandez,karen.hernandez104@example.com,Non-Binary,25,5
105,Thomas Martinez,thomas.martinez105@example.com,Non-Binary,44,6
106,Richard Martinez,richard.martinez106@example.com,Non-Binary,26,4
107,Susan Gonzalez,susan.gonzalez107@example.com,Non-Binary,65,3
108,Karen Jackson,karen.jackson108@example.com,Female,43,9
109,James Martinez,james.martinez109@example.com,Female,31,7
110,Charles Martin,charles.martin110@example.com,Non-Binary,38,8
111,Joseph Anderson,joseph.anderson111@example.com,Non-Binary,31,9
112,Jessica Garcia,jessica.garcia112@example.com,Non-Binary,23,5
113,Thomas Martin,thomas.martin113@example.com,Female,23,4
114,Elizabeth Davis,elizabeth.davis114@example.com,Male,27,1
115,Mary Davis,mary.davis115@example.com,Female,57,2
116,Joseph Wilson,joseph.wilson116@example.com,Non-Binary,54,4
117,Richard Thomas,richard.thomas117@example.com,Female,33,3
118,James Brown,james.brown118@example.com,Female,32,3
119,Thomas Anderson,thomas.anderson119@example.com,Male,53,4
120,Patricia Anderson,patricia.anderson120@example.com,Male,69,8
121,Thomas Moore,thomas.moore121@example.com,Non-Binary,38,8
122,Karen Taylor,karen.taylor122@example.com,Female,53,8
123,Jennifer Thomas,jennifer.thomas123@example.com,Female,34,4
124,William Taylor,william.taylor124@example.com,Female,58,4
125,William Anderson,william.anderson125@example.com,Male,63,5
126,Linda Rodriguez,linda.rodriguez126@example.com,Female,38,9
127,John Jones,john.jones127@example.com,Male,32,7
128,Robert Miller,robert.miller128@example.com,Male,44,7
129,David Moore,david.moore129@example.com,Female,44,1
130,Michael Wilson,michael.wilson130@example.com,Female,67,10
131,James Jackson,james.jackson131@example.com,Female,48,1
132,Barbara Martinez,barbara.martinez132@example.com,Female,44,9
133,Sarah Martin,sarah.martin133@example.com,Male,49,4
134,William Wilson,william.wilson134@example.com,Female,19,7
135,David Gonzalez,david.gonzalez135@example.com,Non-Binary,28,8
136,Robert Martin,robert.martin136@example.com,Non-Binary,19,7
137,Charles Jackson,charles.jackson137@example.com,Non-Binary,19,2
138,Susan Jones,susan.jones138@example.com,Female,29,1
139,William Gonzalez,william.gonzalez139@example.com,Female,31,8
140,David Hernandez,david.hernandez140@example.com,Female,35,7
141,William Williams,william.williams141@example.com,Female,19,9
142,Mary Lopez,mary.lopez142@example.com,Male,59,2
143,Mary Smith,mary.smith143@example.com,Male,30,1
144,Karen Jones,karen.jones144@example.com,Male,26,8
145,Patricia Jackson,patricia.jackson145@example.com,Male,47,5
146,Barbara Garcia,barbara.garcia146@example.com,Non-Binary,56,2
147,Jennifer Martinez,jennifer.martinez147@example.com,Male,55,1
148,Elizabeth Jackson,elizabeth.jackson148@example.com,Non-Binary,42,7
149,Michael Williams,michael.williams149@example.com,Non-Binary,62,4
150,Patricia Martinez,patricia.martinez150@example.com,Non-Binary,56,2
151,Charles Johnson,charles.johnson151@example.com,Female,52,7
152,Barbara Williams,barbara.williams152@example.com,Non-Binary,59,6
153,James Wilson,james.wilson153@example.com,Female,24,7
154,Barbara Anderson,barbara.anderson154@example.com,Non-Binary,27,7
155,Jennifer Taylor,jennifer.taylor155@example.com,Non-Binary,35,10
156,Sarah Thomas,sarah.thomas156@example.com,Female,45,10
157,William Hernandez,william.hernandez157@example.com,Male,23,5
158,Joseph Davis,joseph.davis158@example.com,Female,54,10
159,Richard Hernandez,richard.hernandez159@example.com,Male,49,6
160,Jennifer Thomas,jennifer.thomas160@example.com,Male,40,5
161,David Rodriguez,david.rodriguez161@example.com,Non-Binary,62,5
162,Sarah Smith,sarah.smith162@example.com,Non-Binary,30,2
163,Linda Wilson,linda.wilson163@example.com,Female,53,4
164,Jessica Thomas,jessica.thomas164@example.com,Female,68,1
165,John Martinez,john.martinez165@example.com,Male,43,4
166,Elizabeth Jackson,elizabeth.jackson166@example.com,Female,48,9
167,Thomas Lopez,thomas.lopez167@example.com,Female,65,9
168,David Lopez,david.lopez168@example.com,Non-Binary,47,5
169,Elizabeth Rodriguez,elizabeth.rodriguez169@example.com,Male,25,4
170,David Brown,david.brown170@example.com,Non-Binary,52,3
171,Michael Miller,michael.miller171@example.com,Non-Binary,48,5
172,Charles Taylor,charles.taylor172@example.com,Non-Binary,36,2
173,Michael Martinez,michael.martinez173@example.com,Male,41,3
174,Elizabeth Smith,elizabeth.smith174@example.com,Non-Binary,52,3
175,William Johnson,william.johnson175@example.com,Male,53,5
176,Robert Thomas,robert.thomas176@example.com,Male,18,10
177,Elizabeth Thomas,elizabeth.thomas177@example.com,Female,46,6
178,Jennifer Johnson,jennifer.johnson178@example.com,Female,48,2
179,John Gonzalez,john.gonzalez179@example.com,Female,22,10
180,Mary Jones,mary.jones180@example.com,Male,69,10
181,Elizabeth Williams,elizabeth.williams181@example.com,Male,25,9
182,Susan Martin,susan.martin182@example.com,Non-Binary,68,10
183,Linda Taylor,linda.taylor183@example.com,Female,46,8
184,Elizabeth Jackson,elizabeth.jackson184@example.com,Female,37,10
185,Karen Johnson,karen.johnson185@example.com,Non-Binary,65,2
186,Michael Miller,michael.miller186@example.com,Female,60,2
187,Jennifer Davis,jennifer.davis187@example.com,Male,53,2
188,Jennifer Smith,jennifer.smith188@example.com,Female,46,10
189,Jessica Martinez,jessica.martinez189@example.com,Male,32,5
190,Elizabeth Anderson,elizabeth.anderson190@example.com,Male,61,4
191,William Jackson,william.jackson191@example.com,Non-Binary,69,4
192,Susan Brown,susan.brown192@example.com,Non-Binary,32,3
193,William Jones,william.jones193@example.com,Male,21,3
194,Elizabeth Martin,elizabeth.martin194@example.com,Non-Binary,70,10
195,Elizabeth Anderson,elizabeth.anderson195@example.com,Male,47,5
196,Richard Rodriguez,richard.rodriguez196@example.com,Non-Binary,52,8
197,Joseph Williams,joseph.williams197@example.com,Non-Binary,20,7
198,David Martin,david.martin198@example.com,Female,19,2
199,Linda Jackson,linda.jackson199@example.com,Non-Binary,19,5
200,Charles Johnson,charles.johnson200@example.com,Male,48,9
201,Joseph Rodriguez,joseph.rodriguez201@example.com,Male,55,7
202,Jessica Williams,jessica.williams202@example.com,Female,40,7
203,David Hernandez,david.hernandez203@example.com,Non-Binary,24,3
204,David Wilson,david.wilson204@example.com,Non-Binary,49,5
205,Richard Moore,richard.moore205@example.com,Male,47,2
206,David Rodriguez,david.rodriguez206@example.com,Female,25,7
207,Thomas Smith,thomas.smith207@example.com,Non-Binary,52,8
208,Susan Johnson,susan.johnson208@example.com,Male,51,6
209,Karen Thomas,karen.thomas209@example.com,Non-Binary,46,1
210,Michael Rodriguez,michael.rodriguez210@example.com,Non-Binary,26,5
211,Joseph Thomas,joseph.thomas211@example.com,Male,19,10
212,Linda Garcia,linda.garcia212@example.com,Female,53,1
213,Sarah Wilson,sarah.wilson213@example.com,Male,32,2
214,Joseph Brown,joseph.brown214@example.com,Non-Binary,27,8
215,Elizabeth Taylor,elizabeth.taylor215@example.com,Non-Binary,35,7
216,Jessica Thomas,jessica.thomas216@example.com,Male,47,9
217,Robert Gonzalez,robert.gonzalez217@example.com,Male,56,9
218,Robert Williams,robert.williams218@example.com,Female,67,7
219,David Taylor,david.taylor219@example.com,Female,70,1
220,Elizabeth Martinez,elizabeth.martinez220@example.com,Non-Binary,55,8
221,Robert Anderson,robert.anderson221@example.com,Non-Binary,48,6
222,David Moore,david.moore222@example.com,Non-Binary,42,8
223,David Miller,david.miller223@example.com,Non-Binary,33,10
224,Richard Davis,richard.davis224@example.com,Female,20,6
225,Jessica Gonzalez,jessica.gonzalez225@example.com,Female,60,3
226,Jessica Johnson,jessica.johnson226@example.com,Male,50,10
227,David Brown,david.brown227@example.com,Female,24,9
228,Joseph Smith,joseph.smith228@example.com,Non-Binary,27,7
229,Robert Williams,robert.williams229@example.com,Female,68,5
230,David Martin,david.martin230@example.com,Non-Binary,43,2
231,David Moore,david.moore231@example.com,Female,38,8
232,Sarah Johnson,sarah.johnson232@example.com,Non-Binary,22,4
233,Elizabeth Davis,elizabeth.davis233@example.com,Non-Binary,23,7
234,Patricia Brown,patricia.brown234@example.com,Female,28,5
235,James Johnson,james.johnson235@example.com,Female,68,1
236,Elizabeth Lopez,elizabeth.lopez236@example.com,Female,45,3
237,Linda Taylor,linda.taylor237@example.com,Female,54,3
238,Jennifer Garcia,jennifer.garcia238@example.com,Male,57,7
239,Karen Davis,karen.davis239@example.com,Female,55,3
240,Linda Anderson,linda.anderson240@example.com,Non-Binary,34,8
241,William Smith,william.smith241@example.com,Female,36,9
242,Jennifer Williams,jennifer.williams242@example.com,Female,40,10
243,Elizabeth Wilson,elizabeth.wilson243@example.com,Non-Binary,34,8
244,Elizabeth Miller,elizabeth.miller244@example.com,Female,48,2
245,Linda Gonzalez,linda.gonzalez245@example.com,Non-Binary,40,10
246,Elizabeth Martinez,elizabeth.martinez246@example.com,Male,60,7
247,William Smith,william.smith247@example.com,Non-Binary,61,1
248,Karen Thomas,karen.thomas248@example.com,Female,67,4
249,Karen Lopez,karen.lopez249@example.com,Male,58,4
250,Karen Rodriguez,karen.rodriguez250@example.com,Non-Binary,66,3
251,Patricia Johnson,patricia.johnson251@example.com,Female,68,8
252,Mary Jackson,mary.jackson252@example.com,Female,64,3
253,John Martinez,john.martinez253@example.com,Female,65,7
254,Jennifer Miller,jennifer.miller254@example.com,Male,68,9
255,Barbara Taylor,barbara.taylor255@example.com,Non-Binary,35,3
256,William Thomas,william.thomas256@example.com,Female,65,6
257,Patricia Anderson,patricia.anderson257@example.com,Male,27,4
258,Richard Moore,richard.moore258@example.com,Female,23,7
259,James Rodriguez,james.rodriguez259@example.com,Non-Binary,25,8
260,Barbara Rodriguez,barbara.rodriguez260@example.com,Non-Binary,42,6
261,Patricia Davis,patricia.davis261@example.com,Female,19,10
262,Sarah Hernandez,sarah.hernandez262@example.com,Non-Binary,32,2
263,Joseph Martinez,joseph.martinez263@example.com,Non-Binary,44,2
264,Robert Johnson,robert.johnson264@example.com,Male,37,8
265,Patricia Brown,patricia.brown265@example.com,Male,52,3
266,Richard Anderson,richard.anderson266@example.com,Female,60,9
267,Susan Jackson,susan.jackson267@example.com,Non-Binary,64,3
268,Susan Brown,susan.brown268@example.com,Female,57,7
269,William Johnson,william.johnson269@example.com,Non-Binary,41,4
270,Joseph Anderson,joseph.anderson270@example.com,Male,41,2
271,Barbara Moore,barbara.moore271@example.com,Non-Binary,40,1
272,Richard Rodriguez,richard.rodriguez272@example.com,Male,25,8
273,John Miller,john.miller273@example.com,Non-Binary,58,10
274,James Johnson,james.johnson274@example.com,Female,33,3
275,Charles Miller,charles.miller275@example.com,Male,66,9
276,Michael Jackson,michael.jackson276@example.com,Male,70,4
277,David Jones,david.jones277@example.com,Non-Binary,18,5
278,Robert Jones,robert.jones278@example.com,Non-Binary,34,3
279,Patricia Smith,patricia.smith279@example.com,Male,18,6
280,Linda Jackson,linda.jackson280@example.com,Female,19,3
281,William Johnson,william.johnson281@example.com,Male,65,7
282,Thomas Brown,thomas.brown282@example.com,Non-Binary,22,8
283,Joseph Lopez,joseph.lopez283@example.com,Non-Binary,55,2
284,Joseph Taylor,joseph.taylor284@example.com,Male,57,1
285,Thomas Martinez,thomas.martinez285@example.com,Female,59,1
286,Mary Thomas,mary.thomas286@example.com,Female,45,2
287,Jessica Anderson,jessica.anderson287@example.com,Male,23,6
288,Karen Jones,karen.jones288@example.com,Male,26,5
289,Karen Jackson,karen.jackson289@example.com,Non-Binary,63,6
290,Richard Martin,richard.martin290@example.com,Non-Binary,36,8
291,Thomas Martin,thomas.martin291@example.com,Female,24,2
292,Sarah Miller,sarah.miller292@example.com,Female,46,4
293,Susan Hernandez,susan.hernandez293@example.com,Female,43,7
294,Patricia Hernandez,patricia.hernandez294@example.com,Female,38,5
295,Barbara Jones,barbara.jones295@example.com,Non-Binary,48,2
296,John Williams,john.williams296@example.com,Male,45,2
297,Barbara Jones,barbara.jones297@example.com,Non-Binary,21,10
298,Sarah Moore,sarah.moore298@example.com,Female,60,2
299,Susan Lopez,susan.lopez299@example.com,Non-Binary,66,7
300,Mary Martinez,mary.martinez300@example.com,Non-Binary,37,6
